"Project_Name","Scope of work","Functions","Category","Role","Duration_Months","Year","Client_Company","Location","Longitud","Latitud","image_link","Skills","Software","Industry","Country","Feature"
"Ciudadela Villa de Leyva 2 Gated Community – Phase II","Geotechnical Studies, Assessments, and Design for the Ciudadela Villa de Leyva 2 Gated Community – Phase II
To conduct interdisciplinary technical site visits for reconnaissance and exploration.
To collect and analyze the available secondary information.
To plan and execute a direct geotechnical exploration program through ten (10) boreholes distributed within the study area.
To identify the subsurface materials through direct methods, in order to obtain the physical and mechanical properties of the soils that make up the stratigraphic profile of the site.
To describe the local geology.
To design the necessary works to ensure slope stability.
To design the works required to mitigate ground deformations and settlements.","Analyzed the failed slope and designed stabilization structures, including calculation reports and detailed construction drawings.","Design/Consulting","[""Civil Engineer"",""Project Manager"",""Designer / Consulter""]","2","5/28/2018 12:00 AM","2Rios Ingenieria SAS","Pereira, Risaralda","-75.725619","4.783488","https://res.cloudinary.com/dmf2pbdlq/image/upload/v1756590203/villa_de_leyva_y1amtb.jpg","[""GIS"",""Survey"",""CAD Drafting"",""Slope Stability"",""Laboratory Testing"",""Soil Analysis""]","[""AutoCAD Civil 3D"",""Excel"",""ArcGIS"",""Slide""]","Geotechnics","Colombia",
"Geometric and Structural Design of the La Paz Bypass Dual Carriageway","Study of traffic projection for the calculation of capacity and level of service along the section between Km 30+629.527 and Km 31+520.097 of National Route 29RSC, at a Phase III level of detail, including the corresponding analysis from a road safety perspective.
Definition of the criteria, parameters, and values governing geometric design elements, road signage, and road safety diagnosis (Phase III), which constitute the roadway studies and designs required for the construction and operation of the corridor.
Execution of the studies and designs for the improvement of the existing roadway and the design of its expansion to a dual carriageway from Km 30+630 to the intersection connecting with the Chinchiná – Manizales road of Route 29RSC.","Coordinated and reviewed the geometric, traffic, geotechnical, and pavement design.","Design/Consulting","[""Civil Engineer"",""Project Manager"",""Designer / Consulter""]","6","12/30/2021 12:00 AM","Autopistas del Cafe S.A.","Chinchina, Caldas","-75.604974","4.996938","https://res.cloudinary.com/dmf2pbdlq/image/upload/v1756588929/variante_la_paz_ty06kg.jpg","[""GIS"",""Survey"",""Network Analysis"",""CAD Drafting"",""Dashboard"",""3D Render"",""Slope Stability"",""Project Management"",""Leadership"",""Supervision"",""Comunication"",""Negociation""]","[""AutoCAD Civil 3D"",""Excel"",""ArcGIS"",""Microsoft Project"",""Slide"",""Microsoft Teams""]","Transportation","Colombia",
"Aerocafé Intersection","Study of Alignment, Geometric Design, Road Signage, and Road Safety.
Definition of the criteria, parameters, and values that establish the elements of geometric design, road signage, and road safety assessment (Phase III), which constitute the roadway studies and designs required for the construction and operation of the corridor","Coordinated and reviewed the geometric, traffic, geotechnical, and pavement design.","Design/Consulting","[""Civil Engineer"",""Project Manager"",""Designer / Consulter""]","6","3/1/2021 12:00 AM","Autopistas del Cafe S.A.","Chinchina, Caldas","-75.617368","4.987246","https://res.cloudinary.com/dmf2pbdlq/image/upload/v1756589079/aerocafe_pldgow.jpg","[""GIS"",""Survey"",""Network Analysis"",""CAD Drafting"",""Dashboard"",""3D Render"",""Slope Stability"",""Project Management"",""Leadership"",""Supervision"",""Comunication"",""Negociation""]","[""AutoCAD Civil 3D"",""Excel"",""ArcGIS"",""Microsoft Project"",""Slide"",""Microsoft Teams""]","Transportation","Colombia",
"Chinchiná Intersection, Carrera 5, Pereira–Manizales Section","Phase III Studies and Design Modification Consultancy.
To analyze the quantitative and qualitative characteristics of the prevailing current traffic in the road corridors of the intersection, through the collection of primary information.
To perform statistical analysis of the traffic estimates and projections presented in the project, over the determined analysis periods.
To verify the expected traffic for the purpose of designing pavement structures, either in equivalent axes or load spectra.
To estimate the capacity and level of service for the intersection during different periods, considering a 20-year horizon.","Coordinated and reviewed the geometric, traffic, geotechnical, and pavement design.","Design/Consulting","[""Civil Engineer"",""Project Manager"",""Designer / Consulter""]","6","10/1/2021 12:00 AM","Autopistas del Cafe S.A.","Chinchina, Caldas","-75.614221","4.992433","https://res.cloudinary.com/dmf2pbdlq/image/upload/v1756589541/Int_palestina_ufjh9t.jpg","[""GIS"",""Survey"",""Network Analysis"",""CAD Drafting"",""Dashboard"",""3D Render"",""Slope Stability"",""Project Management"",""Leadership"",""Supervision"",""Comunication"",""Negociation""]","[""AutoCAD Civil 3D"",""Excel"",""ArcGIS"",""Microsoft Project"",""Slide"",""Microsoft Teams""]","Transportation","Colombia",
"EL CAIMO INTERSECTION KM 6+500 ROUTE 40 QN01","TRAFFIC STUDY, CAPACITY AND LEVELS OF SERVICE.
Prepare the traffic, capacity, and level of service study for the El Caimo Intersection, in the Department of Quindío, aimed at determining traffic projections and classification data required to define the cross-section of the bridge and the roadway structure necessary for the intersection accesses, in compliance with the parameters established by current regulations and the technical annex of the main contract.","Coordinated and reviewed the geometric, traffic, geotechnical, and pavement design.","Design/Consulting","[""Civil Engineer"",""Project Manager"",""Designer / Consulter""]","12","3/4/2019 12:00 AM","Autopistas del Cafe S.A.","El Caimo, Quindio","-75.703698","4.488187","https://res.cloudinary.com/dmf2pbdlq/image/upload/v1756749781/caimo_idvhhs.jpg","[""GIS"",""Survey"",""Network Analysis"",""CAD Drafting"",""Dashboard"",""3D Render"",""Slope Stability"",""Project Management"",""Leadership"",""Supervision"",""Comunication"",""Negociation""]","[""AutoCAD Civil 3D"",""Excel"",""ArcGIS"",""Microsoft Project"",""Slide"",""Microsoft Teams""]","Transportation","Colombia",
"FILANDIA INTERSECTION 4359-ID-FIL-V01-V&T-INF-001_0","TRAFFIC, CAPACITY, AND LEVEL OF SERVICE STUDY.
Different alternatives were proposed to address the conflict at the intersection, which considered the development of a grade-separated intersection. The geometric design of the Filandia intersection was defined according to the needs of the users.","Coordinated and reviewed the geometric, traffic, geotechnical, and pavement design.","Design/Consulting","[""Civil Engineer"",""Project Manager"",""Designer / Consulter""]","12","5/5/2020 12:00 AM","Autopistas del Cafe S.A.","Filandia, Quindio","-75.607024","4.688989","https://res.cloudinary.com/dmf2pbdlq/image/upload/v1756750856/filandia_pyt2xi.jpg","[""GIS"",""Survey"",""Network Analysis"",""CAD Drafting"",""Dashboard"",""3D Render"",""Slope Stability"",""Project Management"",""Leadership"",""Supervision"",""Comunication"",""Negociation""]","[""AutoCAD Civil 3D"",""Excel"",""ArcGIS"",""Microsoft Project"",""Slide"",""Microsoft Teams""]","Transportation","Colombia",
"GUACARÍ PEDESTRIAN BRIDGE ","PEDESTRIAN TRAFFIC STUDY AS PART OF THE ROAD DEVELOPMENT OF THE ARMENIA – PEREIRA – MANIZALES CORRIDOR.
Present the findings and report on aspects of the pedestrian bridge project to be built on the Armenia–Pereira road, in the Guacarí rural area of the city of Pereira, which involve risks to the safety of road users.","Coordinated and reviewed the geometric, traffic, geotechnical, and pavement design.","Design/Consulting","[""Civil Engineer"",""Project Manager"",""Designer / Consulter""]","12","9/4/2019 12:00 AM","Autopistas del Cafe S.A.","Pereira, Risaralda","-75.665983","4.749185","https://res.cloudinary.com/dmf2pbdlq/image/upload/v1756751709/guacari_h2hgk6.jpg","[""GIS"",""Survey"",""Network Analysis"",""CAD Drafting"",""Dashboard"",""3D Render"",""Slope Stability"",""Project Management"",""Leadership"",""Supervision"",""Comunication"",""Negociation"",""Structural Design""]","[""AutoCAD Civil 3D"",""Excel"",""ArcGIS"",""Microsoft Project"",""Slide"",""Microsoft Teams""]","Transportation","Colombia",
"Adjustment of the Phase III Designs of the Return K23","Validation and Update to the Current Technical Standard – Adjustment of the Phase III Designs of the Return K23, Located at Kilometer 23+000 on Route 2901 of the Armenia–Pereira Section.
Traffic Volume Study for the Update and Validation of the Phase III Designs of the Return K23, Located at Kilometer 23+000 on Route 2901 of the Armenia–Pereira Section","Coordinated and reviewed the geometric, traffic, geotechnical, and pavement design.","Design/Consulting","[""Civil Engineer"",""Project Manager"",""Designer / Consulter""]","6","6/9/2020 12:00 AM","Autopistas del Cafe S.A.","Pereira, Risaralda","-75.633499","4.727309","https://res.cloudinary.com/dmf2pbdlq/image/upload/v1756752264/k23_jpa3ft.jpg","[""GIS"",""Survey"",""Network Analysis"",""CAD Drafting"",""Dashboard"",""3D Render"",""Slope Stability"",""Project Management"",""Leadership"",""Supervision"",""Comunication"",""Negociation""]","[""AutoCAD Civil 3D"",""Excel"",""ArcGIS"",""Microsoft Project"",""Slide"",""Microsoft Teams""]","Transportation","Colombia",
"Campoalegre Dual Carriageway","Conduct the roadway studies and designs, at Phase III level, for the construction and operation of the Jazmín–Tarapacá Dual Carriageway, consisting of the existing dual carriageway from the El Jazmín Intersection (Km 20+150) – Tarapacá I (Km 20+800, Route 2902, Pereira–Manizales direction) – connected with the Tarapacá II road (Km 24+300, Route 29RSC, Manizales–Pereira direction) – El Jazmín Intersection (Km 20+150); as well as the studies and designs for the improvement of the existing roadway and the design of the expansion to a dual carriageway from Tarapacá II to the beginning of the La Paz Bypass, Km 30+600 of Route 29RSC.","Coordinated and reviewed the geometric, traffic, geotechnical, and pavement design.","Design-Build","[""Civil Engineer"",""Project Manager"",""Designer / Consulter""]","24","5/22/2018 12:00 AM","Autopistas del Cafe S.A.","Pereira, Risaralda","-75.626951","4.911105","https://res.cloudinary.com/dmf2pbdlq/image/upload/v1756753506/parvial_campoalegre_zm5kkq.jpg","[""GIS"",""Survey"",""Network Analysis"",""CAD Drafting"",""Dashboard"",""3D Render"",""Slope Stability"",""Project Management"",""Leadership"",""Supervision"",""Comunication"",""Negociation""]","[""AutoCAD Civil 3D"",""Excel"",""ArcGIS"",""Microsoft Project"",""Slide"",""Microsoft Teams""]","Transportation","Colombia",
"PLAYA RICA PEDESTRIAN BRIDGE","PEDESTRIAN TRAFFIC STUDY –PLAYA RICA PEDESTRIAN BRIDGE AS PART OF THE ROAD DEVELOPMENT OF THE ARMENIA – PEREIRA – MANIZALES CORRIDOR","Coordinated and reviewed the geometric, traffic, geotechnical, and pavement design.","Design/Consulting","[""Civil Engineer"",""Project Manager"",""Designer / Consulter""]","12","9/10/2019 12:00 AM","Autopistas del Cafe S.A.","Dosquebradas, Risaralda","-75.67321","4.841742","https://res.cloudinary.com/dmf2pbdlq/image/upload/v1756752602/playa_rica_cqvrph.jpg","[""GIS"",""Survey"",""Network Analysis"",""CAD Drafting"",""Dashboard"",""3D Render"",""Slope Stability"",""Project Management"",""Leadership"",""Supervision"",""Comunication"",""Negociation"",""Structural Design""]","[""AutoCAD Civil 3D"",""Excel"",""ArcGIS"",""Microsoft Project"",""Slide"",""Microsoft Teams""]","Transportation","Colombia",
"Postobon Bridge","The scope consisted of conducting the following studies: traffic, alignment and geometric design, soils and pavements, land acquisition, and socio-economic analysis. In addition, the scope included the architectural, urban planning, landscaping, and structural design of the Avenida del Ferrocarril section, located in the municipality of Dosquebradas, Risaralda.","Coordinated and reviewed the geometric, traffic, geotechnical, and pavement design.","Design-Build","[""Civil Engineer"",""Project Manager"",""Designer / Consulter""]","24","10/4/2019 12:00 AM","Autopistas del Cafe S.A.","Dosquebradas, Risaralda","-75.680537","4.83184","https://res.cloudinary.com/dmf2pbdlq/image/upload/v1756754404/puente_industriales_eihrhe.jpg","[""GIS"",""Survey"",""Network Analysis"",""CAD Drafting"",""Dashboard"",""3D Render"",""Slope Stability"",""Project Management"",""Leadership"",""Supervision"",""Comunication"",""Negociation"",""Structural Design""]","[""AutoCAD Civil 3D"",""Excel"",""ArcGIS"",""Microsoft Project"",""Slide"",""Microsoft Teams""]","Transportation","Colombia",
"LA TEBAIDA INTERSECTION","TRAFFIC STUDY, CAPACITY, AND LEVEL OF SERVICE","Coordinated and reviewed the geometric, traffic, geotechnical, and pavement design.","Design/Consulting","[""Civil Engineer"",""Project Manager"",""Designer / Consulter""]","12","2/12/2020 12:00 AM","Autopistas del Cafe S.A.","La Tebaida, Quindio.","-75.792111","4.456773","https://res.cloudinary.com/dmf2pbdlq/image/upload/v1756754983/la_tebaida_nl2esq.jpg","[""GIS"",""Survey"",""Network Analysis"",""CAD Drafting"",""Dashboard"",""3D Render"",""Slope Stability"",""Project Management"",""Leadership"",""Supervision"",""Comunication"",""Negociation""]","[""AutoCAD Civil 3D"",""Excel"",""ArcGIS"",""Microsoft Project"",""Slide"",""Microsoft Teams""]","Transportation","Colombia",
"Civil Engineer","Bachelor Degree in Civil Engineering","Completed a comprehensive civil engineering program with emphasis on structural, geotechnical, hydraulic, and transportation engineering. Developed strong skills in infrastructure design, project planning, construction supervision, and quality control. Proficient in industry-standard software including AutoCAD Civil 3D, ArcGIS, Matlab,/Python.","Academic","[""Student""]","60","2/7/2011 12:00 AM","Universidad Nacional de Colombia","Manizales, Caldas","-75.471725","5.029028","https://res.cloudinary.com/dmf2pbdlq/image/upload/v1756763591/civil_ibozyd.jpg","[""Structural Design"",""Soil Analysis"",""Hydraulic"",""Hydrology"",""Laboratory Testing"",""Construction Quality Control"",""Slope Stability"",""CAD Drafting"",""Survey"",""GIS""]","[""AutoCAD Civil 3D"",""AutoCAD"",""Excel"",""ArcGIS"",""TransCAD"",""Microsoft Project"",""Golden Software""]",,"Colombia",
"Matecaña Airport Intersection","Execution of Traffic, Geometric, Geotechnical, and Pavement Studies, as well as the Urban Planning and Structural Designs for the Intersection at Avenida 30 de Agosto, Access to the Matecaña International Airport, from the Intersection with Avenida 30 de Agosto – Second Stage","Coordinated and design the geometric intersection, traffic study, geotechnical, and pavement design.","Design/Consulting","[""Civil Engineer"",""Project Manager""]","4","3/4/2019 12:00 AM","Consorcio Aereo 2019","Pereira, Risaralda","-75.729133","4.815495","https://res.cloudinary.com/dmf2pbdlq/image/upload/v1756761349/interseccion_aeropuerto_matecana_ele0h5.jpg","[""GIS"",""Survey"",""Network Analysis"",""CAD Drafting"",""3D Render"",""Slope Stability"",""Project Management"",""Leadership"",""Comunication"",""Negociation""]","[""AutoCAD Civil 3D"",""Excel"",""ArcGIS"",""Microsoft Project"",""Slide"",""Microsoft Teams""]","Transportation","Colombia",
"Road and Transportation Specialist","Road and Transportation Specialist","Completed an advanced program focused on transportation systems, highway design, and pavement engineering. Gained expertise in traffic analysis, geometric design, pavement evaluation, and construction supervision. Proficient in specialized tools such as Civil 3D, TransCAD, Slide, and ArcGIS.","Academic","[""Student""]","12","2/8/2016 12:00 AM","Universidad Nacional de Colombia","Manizales, Caldas","-75.49144","5.056112","https://res.cloudinary.com/dmf2pbdlq/image/upload/v1756763235/roads_and_transportation_ujrnfh.jpg","[""Network Analysis"",""GIS"",""Survey"",""CAD Drafting"",""Slope Stability"",""Construction Quality Control"",""Hydrology"",""Erosion Control"",""Soil Analysis"",""Project Management"",""Sales"",""Negociation""]","[""AutoCAD Civil 3D"",""ArcGIS"",""Slide"",""TransCAD"",""Microsoft Project""]","Transportation","Colombia",
"Specialization in Construction and Infrastructure Project Management","Project, Construction, and Infrastructure Management Specialization Program","Completed an advanced program focused on construction planning, infrastructure project management, and cost control, based on the PMI PMBOK® Guide – 6th Edition methodology. Developed strong skills in project scheduling, risk management, quality control, and contract administration. Proficient in tools such as MS Project, AutoCAD Civil 3D, Revit and Navisworks.","Academic","[""Student""]","12","8/2/2021 12:00 AM","Universidad del Rosario","Pereira, Risaralda","-74.072519","4.654307","https://res.cloudinary.com/dmf2pbdlq/image/upload/v1756770127/rosario_gerencia2_zqtika.jpg","[""Construction Quality Control"",""Project Management"",""Leadership"",""Supervision"",""Comunication"",""Negociation"",""Sales""]","[""AutoCAD Civil 3D"",""Excel"",""Microsoft Project"",""Revit"",""Navisworks"",""Microsoft Teams""]","Transportation","Colombia",
"Project Management and Construction Works","Professional Training – Project Management and Construction Works","Completed an 80-hour professional training program focused on project planning, construction supervision, and infrastructure management, following best practices based on the PMI PMBOK® Guide – 6th Edition methodology.","Academic","[""Student""]","3","7/10/2020 12:00 AM","Pontificia Universidad Javeriana","Pereira, Risaralda","-74.06474","4.628492","https://res.cloudinary.com/dmf2pbdlq/image/upload/v1756765635/javeriana_hd6njs.jpg","[""Construction Quality Control"",""Project Management"",""Leadership"",""Supervision"",""Comunication"",""Negociation"",""Sales""]","[""Excel"",""Microsoft Project""]",,,
